# ESV Chronological Bible — Daily Reading Index, transcribed from the printed
# volume (Crossway). Day <TAB> reading reference string, exactly as printed.
#
# BUILD INPUT ONLY. This file is not imported by the site and is not served:
# the arrangement of scripture into 365 chronological readings is Crossway's
# editorial work, and republishing it wholesale is a different thing from
# publishing counts derived from it. What ships is the aggregate — verses per
# book per day — which is what the original Flourish version published too.
#
# Transcribed 2026-08-03 from photographs of pp. 1769ff. Correctness is not
# assumed: scripts/build-chrono-sankey.mjs asserts that the plan covers every
# verse of all 66 books exactly once, with no gaps and no overlaps, so a
# mis-read chapter or verse number fails the build and names the book.
#
# Separators are reproduced as printed: ';' continues a reading, '|' marks
# where the volume breaks to a new interleaved block.
1	Genesis 1:1–3:24
2	Genesis 4:1–5:32; 1 Chronicles 1:1–4 | Genesis 6:1–8
3	Genesis 6:9–9:29
4	Genesis 10:1–32; 1 Chronicles 1:5–27 | Genesis 11:1–32
5	Genesis 12:1–15:21
6	Genesis 16:1–18:33
7	Genesis 19:1–22:24
8	Genesis 23:1–25:4; 1 Chronicles 1:32–33 | Genesis 25:5–11
9	Genesis 25:12–18; 1 Chronicles 1:28–31 | Genesis 25:19–34; 1 Chronicles 1:34 | Genesis 26:1–28:22
10	Genesis 29:1–31:55
11	Genesis 32:1–35:26; 1 Chronicles 2:1–2 | Genesis 35:27–29
12	Genesis 36:1–14; 1 Chronicles 1:35–37 | Genesis 36:15–30; 1 Chronicles 1:38–42 | Genesis 36:31–43; 1 Chronicles 1:43–54 | Genesis 37:1–38:30; 1 Chronicles 2:3–4
13	Genesis 39:1–41:57
14	Genesis 42:1–45:15
15	Genesis 45:16–47:31
16	Genesis 48:1–50:26
17	Job 1:1–3:26
18	Job 4:1–7:21
19	Job 8:1–10:22
20	Job 11:1–14:22
21	Job 15:1–17:16
22	Job 18:1–21:34
23	Job 22:1–24:25
24	Job 25:1–28:28
25	Job 29:1–31:40
26	Job 32:1–34:37
27	Job 35:1–37:24
28	Job 38:1–39:30
29	Job 40:1–42:17
30	Exodus 1:1–4:31
31	Exodus 5:1–8:32
32	Exodus 9:1–11:10
33	Exodus 12:1–15:21
34	Exodus 15:22–18:27
35	Exodus 19:1–23:33
36	Exodus 24:1–26:37
37	Exodus 27:1–29:46
38	Exodus 30:1–32:35
39	Exodus 33:1–36:38
40	Exodus 37:1–40:38
41	Leviticus 1:1–3:17
42	Leviticus 4:1–7:38
43	Leviticus 8:1–10:20
44	Leviticus 11:1–12:8
45	Leviticus 13:1–14:57
46	Leviticus 15:1–16:34
47	Leviticus 17:1–19:37
48	Leviticus 20:1–22:33
49	Leviticus 23:1–25:55
50	Leviticus 26:1–27:34
51	Numbers 1:1–4:49
52	Numbers 5:1–7:89
53	Numbers 8:1–10:36
54	Numbers 11:1–14:45
55	Numbers 15:1–18:32
56	Numbers 19:1–21:35
57	Numbers 22:1–24:25
58	Numbers 25:1–27:23
59	Numbers 28:1–30:16
60	Numbers 31:1–33:56
61	Numbers 34:1–36:13
62	Deuteronomy 1:1–3:29
63	Deuteronomy 4:1–8:20
64	Deuteronomy 9:1–11:32
65	Deuteronomy 12:1–14:29
66	Deuteronomy 15:1–18:22
67	Deuteronomy 19:1–21:23
68	Deuteronomy 22:1–24:22
69	Deuteronomy 25:1–27:26
70	Deuteronomy 28:1–31:29
71	Deuteronomy 31:30–34:12 | Psalm 90:1–17
72	Joshua 1:1–4:24
73	Joshua 5:1–7:26
74	Joshua 8:1–10:27
75	Joshua 10:28–13:33; 1 Chronicles 5:1–24
76	Joshua 14:1–15:63; 1 Chronicles 2:5–55; 4:1–23
77	Joshua 16:1–18:28; 1 Chronicles 7:14–29; 7:6–12; 8:1–40
78	Joshua 19:1–9; 1 Chronicles 4:24–43 | Joshua 19:10–23; 1 Chronicles 7:1–5 | Joshua 19:24–31; 1 Chronicles 7:30–40 | Joshua 19:32–39; 1 Chronicles 7:13 | Joshua 19:40–51
79	Joshua 20:1–21:45; 1 Chronicles 6:16–30, 54–81
80	Joshua 22:1–24:30; Judges 2:6–10 | Joshua 24:31–33
81	Judges 1:1–2:5; 2:11–3:31
82	Judges 4:1–5:31 | Judges 17:1–18:31
83	Judges 6:1–8:35
84	Judges 9:1–10:5 | Ruth 1:1–4:22
85	1 Samuel 1:1–4:1
86	Judges 10:6–12:7
87	1 Samuel 4:2–7:1
88	Judges 19:1–21:25 | Judges 12:8–13:25
89	Judges 14:1–16:31
90	1 Samuel 7:2–8:22
91	1 Samuel 9:1–11:15
92	1 Samuel 12:1–14:46
93	1 Samuel 14:47–52; 1 Chronicles 9:35–44 | 1 Samuel 15:1–16:23
94	1 Samuel 17:1–18:30
95	1 Samuel 19:1–18; Psalm 59:1–17 | 1 Samuel 19:19–20:42
96	1 Samuel 21:1–15; Psalms 34:1–22; 56:1–13 | 1 Samuel 22:1–23; Psalm 52:1–9
97	1 Samuel 23:1–29; 1 Chronicles 12:8–18 | Psalm 4:1–8 | 1 Samuel 24:1–22; Psalm 57:1–11
98	Psalm 54:1–7 | 1 Samuel 25:1–26:25; Psalm 63:1–11
99	1 Samuel 27:1–12; 1 Chronicles 12:1–7 | 1 Samuel 28:1–25 | Psalm 7:1–17
100	1 Samuel 29:1–11; 1 Chronicles 12:19–22 | 1 Samuel 30:1–31 | Psalms 12:1–8; 13:1–6
101	1 Samuel 31:1–13; 1 Chronicles 10:1–14 | 2 Samuel 1:1–27 | Psalm 5:1–12
102	2 Samuel 2:1–3:5; 1 Chronicles 3:1–9 | 2 Samuel 3:6–39 | Psalms 25:1–22; 26:1–12
